Timestamp,lat,long,speed,cadence,x,y
2021-04-05 23:25:43+00:00,-43.5224268771708,172.5752933230251,2.659,186.0,627307.236959883,5179962.588487535
2021-04-05 23:25:52+00:00,-43.52260750718415,172.57536339573562,3.462,183.0,627312.5200216549,5179942.42033908
2021-04-05 23:25:53+00:00,-43.52264472283423,172.57537529803813,3.322,183.0,627313.4036356248,5179938.268924698
2021-04-05 23:25:55+00:00,-43.52265930734575,172.57538611069322,3.163,183.0,627314.2467907815,5179936.632608505
2021-04-05 23:26:06+00:00,-43.522631730884314,172.57543170824647,1.073,117.0,627317.9897964243,5179939.625477245
2021-04-05 23:26:34+00:00,-43.52255864068866,172.575388206169,2.435,117.0,627314.6278835024,5179947.809512405
2021-04-05 23:26:43+00:00,-43.522347919642925,172.57536197081208,2.762,117.0,627312.9508793531,5179971.252498215
2021-04-05 23:26:50+00:00,-43.522162763401866,172.5753545947373,3.2,151.0,627312.7442260125,5179991.827371815
2021-04-05 23:26:55+00:00,-43.52211884222925,172.57534705102444,1.362,151.0,627312.2269524012,5179996.716834604
2021-04-05 23:27:36+00:00,-43.52229938842356,172.57530564442277,0.065,0.0,627308.5008747332,5179976.728620632
2021-04-05 23:27:58+00:00,-43.52248605340719,172.57532961666584,0.093,0.0,627310.0455994977,5179955.96078378
2021-04-05 23:28:05+00:00,-43.52253181859851,172.57532668299973,0.952,117.0,627309.7122525239,5179950.882558966
2021-04-05 23:28:19+00:00,-43.52264556102455,172.5753345619887,1.073,117.0,627310.1097589008,5179938.238184283
2021-04-05 23:28:23+00:00,-43.52262427099049,172.57532986812294,1.064,117.0,627309.7752011772,5179940.609854976
2021-04-05 23:28:35+00:00,-43.52247557602823,172.57530145347118,1.288,0.0,627307.7916014761,5179957.167513793
2021-04-05 23:28:55+00:00,-43.52261924184859,172.57533380761743,1.026,0.0,627310.1041525103,5179941.162365484
2021-04-05 23:28:59+00:00,-43.522655786946416,172.5753421895206,1.045,0.0,627310.704674568,5179937.090811656
2021-04-05 23:29:01+00:00,-43.52266324684024,172.5753414351493,0.989,117.0,627310.6280185911,5179936.263465095
2021-04-05 23:29:08+00:00,-43.5224509332329,172.57527463138103,5.393,117.0,627305.6757790692,5179959.945411751
2021-04-05 23:29:11+00:00,-43.52226058021188,172.57523372769356,7.39,217.0,627302.770460238,5179981.148756212
2021-04-05 23:29:16+00:00,-43.52206720970571,172.57518217898905,4.441,173.0,627299.0111723468,5180002.703513641
2021-04-05 23:29:27+00:00,-43.52194977924228,172.57523892447352,1.465,173.0,627303.8441247405,5180015.658578748
