Reaction Date,Reaction Type,Parent Type,Parent ID
"Feb 8, 2020, 5:35:27 AM",Kudos,Activity,3080976257
"Feb 9, 2020, 7:47:39 AM",Kudos,Activity,3084345831
"Feb 10, 2020, 6:49:28 AM",Kudos,Activity,3087271183
"Feb 10, 2020, 6:49:29 AM",Kudos,Activity,3087237193
"Feb 10, 2020, 9:13:41 PM",Kudos,Activity,3089000976
"Feb 10, 2020, 9:13:46 PM",Kudos,Activity,3088690481
"Feb 10, 2020, 11:53:35 PM",Kudos,Activity,3089043012
"Feb 11, 2020, 6:25:57 PM",Kudos,Activity,3089715658
"Feb 11, 2020, 6:25:59 PM",Kudos,Activity,3089705814
"Feb 13, 2020, 6:25:53 PM",Kudos,Activity,3095683346
"Feb 13, 2020, 6:25:57 PM",Kudos,Activity,3095345015
"Feb 13, 2020, 6:26:09 PM",Kudos,Activity,3095381368
"Feb 13, 2020, 6:26:26 PM",Kudos,Activity,3095643255
"Feb 13, 2020, 6:27:04 PM",Kudos,Activity,3095347216
"Feb 13, 2020, 6:27:04 PM",Kudos,Activity,3095395695
"Feb 13, 2020, 6:27:09 PM",Kudos,Activity,3095395707
"Feb 15, 2020, 8:50:39 PM",Kudos,Activity,3100416886
"Feb 15, 2020, 8:50:41 PM",Kudos,Activity,3100358484
"Feb 15, 2020, 10:34:21 PM",Kudos,Activity,3102850669
"Feb 16, 2020, 6:47:57 AM",Kudos,Activity,3103682614
"Feb 16, 2020, 6:47:59 AM",Kudos,Activity,3103696358
"Feb 16, 2020, 6:48:05 AM",Kudos,Activity,3103659367
"Feb 16, 2020, 9:08:43 AM",Kudos,Activity,3103733043
"Feb 17, 2020, 5:49:27 PM",Kudos,Activity,3107270278
"Feb 18, 2020, 7:04:02 AM",Kudos,Activity,3109548226
"Feb 18, 2020, 7:04:02 AM",Kudos,Activity,3109547906
"Feb 18, 2020, 7:04:08 AM",Kudos,Activity,3109633655
"Feb 18, 2020, 7:04:18 AM",Kudos,Activity,3109541624
"Feb 18, 2020, 7:05:28 AM",Kudos,Activity,3109516015
"Feb 18, 2020, 7:05:29 AM",Kudos,Activity,3109548017
"Feb 18, 2020, 7:05:34 AM",Kudos,Activity,3109653543
"Feb 18, 2020, 7:05:37 AM",Kudos,Activity,3109653406
"Feb 18, 2020, 7:22:28 AM",Kudos,Activity,3109718171
"Feb 19, 2020, 4:33:55 AM",Kudos,Activity,3112512725
"Feb 19, 2020, 4:34:26 AM",Kudos,Activity,3111877106
"Feb 19, 2020, 6:27:02 AM",Kudos,Activity,3112582884
"Feb 20, 2020, 5:25:08 AM",Kudos,Activity,3115434779
"Feb 20, 2020, 5:25:09 AM",Kudos,Activity,3115482517
"Feb 20, 2020, 8:30:16 AM",Kudos,Activity,3112969138
"Feb 21, 2020, 10:23:35 PM",Kudos,Activity,3118265533
"Feb 23, 2020, 4:30:01 AM",Kudos,Activity,3123773028
"Feb 23, 2020, 7:11:37 AM",Kudos,Activity,3123906904
"Feb 23, 2020, 7:11:48 AM",Kudos,Activity,3123937365
"Feb 23, 2020, 7:11:48 AM",Kudos,Activity,3123935891
"Mar 2, 2020, 1:52:00 AM",Kudos,Activity,3146769227
"Mar 2, 2020, 1:52:24 AM",Kudos,Activity,3146053647
"Mar 2, 2020, 1:52:58 AM",Kudos,Activity,3143757644
"Mar 2, 2020, 1:53:17 AM",Kudos,Activity,3143707503
"Mar 2, 2020, 1:53:26 AM",Kudos,Activity,3143707398
"Mar 2, 2020, 1:53:39 AM",Kudos,Activity,3143707200
"Mar 2, 2020, 1:53:52 AM",Kudos,Activity,3143579369
"Mar 2, 2020, 1:53:52 AM",Kudos,Activity,3143577272
"Mar 2, 2020, 1:54:03 AM",Kudos,Activity,3135371296
"Mar 2, 2020, 1:54:08 AM",Kudos,Activity,3143576837
"Mar 2, 2020, 1:54:10 AM",Kudos,Activity,3140366661
"Mar 2, 2020, 1:54:18 AM",Kudos,Activity,3135372148
"Mar 3, 2020, 9:58:53 PM",Kudos,Activity,3151639098
"Mar 4, 2020, 7:26:52 AM",Kudos,Activity,3152567074
"Mar 8, 2020, 7:11:15 PM",Kudos,Activity,3164032756
"Mar 8, 2020, 7:11:57 PM",Kudos,Activity,3164055522
"Mar 10, 2020, 3:02:09 AM",Kudos,Activity,3170021289
"Mar 10, 2020, 3:02:28 AM",Kudos,Activity,3170021586
"Mar 10, 2020, 3:02:54 AM",Kudos,Activity,3170021446
"Mar 22, 2020, 6:33:39 AM",Kudos,Activity,3205556772
"Mar 22, 2020, 6:33:39 AM",Kudos,Activity,3205553999
"Mar 22, 2020, 11:16:34 PM",Kudos,Activity,3205639205
"Mar 25, 2020, 6:19:19 PM",Kudos,Activity,3215431714
"Mar 25, 2020, 6:19:28 PM",Kudos,Activity,3215463450
"Mar 26, 2020, 4:16:06 AM",Kudos,Activity,3218766795
"Mar 26, 2020, 7:29:56 AM",Kudos,Activity,3219026356
"Mar 26, 2020, 7:30:01 AM",Kudos,Activity,3218879798
"Mar 26, 2020, 7:21:35 PM",Kudos,Activity,3218917362
"Mar 26, 2020, 7:22:35 PM",Kudos,Activity,3215226160
"Mar 26, 2020, 7:22:35 PM",Kudos,Activity,3211762842
"Mar 26, 2020, 7:22:37 PM",Kudos,Activity,3218879638
"Mar 27, 2020, 6:33:47 AM",Kudos,Activity,3222507873
"Mar 28, 2020, 11:34:30 PM",Kudos,Activity,3229515005
"Mar 28, 2020, 11:34:56 PM",Kudos,Activity,3225892450
"Mar 29, 2020, 4:58:03 AM",Kudos,Activity,3229777298
"Mar 29, 2020, 5:54:09 AM",Kudos,Activity,3229725361
"Mar 29, 2020, 5:54:43 AM",Kudos,Activity,3229791209
"Mar 29, 2020, 9:00:30 PM",Kudos,Activity,3230271100
"Mar 31, 2020, 6:54:45 AM",Kudos,Activity,3237089312
"Apr 4, 2020, 11:30:04 PM",Kudos,Activity,3254938450
"Apr 4, 2020, 11:30:55 PM",Kudos,Activity,3252270393
"Apr 4, 2020, 11:31:06 PM",Kudos,Activity,3252209144
"Apr 4, 2020, 11:32:11 PM",Kudos,Activity,3252152846
"Apr 4, 2020, 11:32:22 PM",Kudos,Activity,3251937463
"Apr 5, 2020, 7:02:56 AM",Kudos,Activity,3256440750
"Apr 7, 2020, 1:22:26 AM",Kudos,Activity,3264679637
"Apr 11, 2020, 3:56:03 AM",Kudos,Activity,3281171872
"Apr 11, 2020, 4:01:30 AM",Kudos,Activity,3278046073
"Apr 11, 2020, 4:01:43 AM",Kudos,Activity,3278099819
"Apr 11, 2020, 4:02:06 AM",Kudos,Activity,3278093181
"Apr 12, 2020, 4:28:38 AM",Kudos,Activity,3286908453
"Apr 12, 2020, 6:41:53 AM",Kudos,Activity,3287284409
"Apr 12, 2020, 6:42:27 AM",Kudos,Activity,3287369158
"Apr 12, 2020, 6:56:53 AM",Kudos,Activity,3286871494
"Apr 12, 2020, 6:58:17 AM",Kudos,Activity,3286810882
"Apr 12, 2020, 7:23:04 PM",Kudos,Activity,3290692012
"Apr 14, 2020, 5:09:10 AM",Kudos,Activity,3296094719
"Apr 14, 2020, 7:33:59 AM",Kudos,Activity,3296239430
"Apr 14, 2020, 7:34:01 AM",Kudos,Activity,3296284095
"Apr 15, 2020, 6:53:14 AM",Kudos,Activity,3300736571
"Apr 15, 2020, 6:53:19 AM",Kudos,Activity,3300800227
"Apr 15, 2020, 6:53:21 AM",Kudos,Activity,3300747700
"Apr 16, 2020, 1:54:06 AM",Kudos,Activity,3305177455
"Apr 17, 2020, 12:34:13 AM",Kudos,Activity,3305460859
"Apr 17, 2020, 8:10:29 PM",Kudos,Activity,3310170661
"Apr 18, 2020, 9:02:17 AM",Kudos,Activity,3314798033
"Apr 19, 2020, 5:24:44 AM",Kudos,Activity,3319260907
"Apr 19, 2020, 5:24:51 AM",Kudos,Activity,3319260840
"Apr 19, 2020, 8:51:48 AM",Kudos,Activity,3319634750
"Apr 19, 2020, 8:52:26 AM",Kudos,Activity,3319302204
"Apr 20, 2020, 3:38:17 AM",Kudos,Activity,3320286455
"Apr 21, 2020, 7:13:26 AM",Kudos,Activity,3329270076
"Apr 23, 2020, 1:20:38 AM",Kudos,Activity,3334817524
"Apr 23, 2020, 1:20:55 AM",Kudos,Activity,3334624937
"Apr 26, 2020, 8:30:53 PM",Kudos,Activity,3354095266
"Apr 27, 2020, 5:36:03 AM",Kudos,Activity,3359642292
"Apr 28, 2020, 7:00:36 PM",Kudos,Activity,3364069917
"Apr 29, 2020, 12:15:45 AM",Kudos,Activity,3367961003
"Apr 30, 2020, 6:41:32 AM",Kudos,Activity,3373807341
"Apr 30, 2020, 6:41:45 AM",Kudos,Activity,3372477198
"Apr 30, 2020, 6:42:12 AM",Kudos,Activity,3373697349
"Apr 30, 2020, 6:42:28 AM",Kudos,Activity,3373630414
"May 1, 2020, 2:19:51 AM",Kudos,Activity,3377781945
"May 1, 2020, 2:30:51 AM",Kudos,Activity,3377539824
"May 3, 2020, 1:34:41 AM",Kudos,Activity,3388289922
"May 3, 2020, 1:35:01 AM",Kudos,Activity,3388154307
"May 3, 2020, 7:45:07 AM",Kudos,Activity,3388571062
"May 4, 2020, 12:38:52 AM",Kudos,Activity,3394241135
"May 4, 2020, 7:33:55 PM",Kudos,Activity,3394915815
"May 4, 2020, 7:34:35 PM",Kudos,Activity,3394839947
"May 5, 2020, 7:55:00 AM",Kudos,Activity,3400220480
"May 5, 2020, 7:55:12 AM",Kudos,Activity,3400219667
"May 6, 2020, 12:50:05 AM",Kudos,Activity,3404769857
"May 6, 2020, 6:07:51 AM",Kudos,Activity,3405469206
"May 6, 2020, 6:08:23 AM",Kudos,Activity,3405469306
"May 6, 2020, 7:31:00 AM",Kudos,Activity,3405595858
"May 7, 2020, 7:01:15 PM",Kudos,Activity,3411086661
"May 7, 2020, 7:01:39 PM",Kudos,Activity,3411146353
"May 7, 2020, 7:01:45 PM",Kudos,Activity,3411415300
"May 9, 2020, 9:23:54 PM",Kudos,Activity,3422087385
"May 9, 2020, 9:25:12 PM",Kudos,Activity,3421886191
"May 10, 2020, 8:11:14 PM",Kudos,Activity,3431233246
"May 12, 2020, 3:27:10 AM",Kudos,Activity,3437322062
"May 12, 2020, 5:49:21 AM",Kudos,Activity,3437399975
"May 12, 2020, 5:49:48 AM",Kudos,Activity,3437519447
"May 12, 2020, 5:49:50 AM",Kudos,Activity,3437494943
"May 12, 2020, 11:55:45 PM",Kudos,Activity,3440212631
"May 13, 2020, 3:54:44 AM",Kudos,Activity,3442678422
"May 13, 2020, 3:55:28 AM",Kudos,Activity,3442411671
"May 13, 2020, 8:32:40 PM",Kudos,Activity,3445619144
"May 14, 2020, 2:02:15 AM",Kudos,Activity,3447685454
"May 14, 2020, 7:44:18 AM",Kudos,Activity,3448357178
"May 14, 2020, 7:44:19 AM",Kudos,Activity,3447955227
"May 14, 2020, 8:17:05 AM",Kudos,Activity,3448189454
"May 14, 2020, 6:28:03 PM",Kudos,Activity,3450862193
"May 15, 2020, 3:55:45 AM",Kudos,Activity,3452814805
"May 15, 2020, 3:56:01 AM",Kudos,Activity,3452939956
"May 15, 2020, 9:27:46 AM",Kudos,Activity,3453778559
"May 16, 2020, 4:46:21 AM",Kudos,Activity,3457765913
"May 16, 2020, 4:46:22 AM",Kudos,Activity,3457764333
"May 16, 2020, 4:46:23 AM",Kudos,Activity,3457772902
"May 16, 2020, 4:46:24 AM",Kudos,Activity,3457769098
"May 16, 2020, 4:49:25 AM",Kudos,Activity,3457771982
"May 16, 2020, 4:49:25 AM",Kudos,Activity,3447956629
"May 16, 2020, 4:49:42 AM",Kudos,Activity,3453949189
"May 16, 2020, 7:51:39 AM",Kudos,Activity,3457970199
"May 16, 2020, 6:16:06 PM",Kudos,Activity,3461578633
"May 17, 2020, 12:07:48 AM",Kudos,Activity,3457890460
"May 17, 2020, 12:08:20 AM",Kudos,Activity,3463125589
"May 17, 2020, 12:08:41 AM",Kudos,Activity,3462864248
"May 17, 2020, 5:24:59 AM",Kudos,Activity,3463344856
"May 17, 2020, 5:25:07 AM",Kudos,Activity,3463306925
"May 17, 2020, 6:30:11 PM",Kudos,Activity,3464578439
"May 17, 2020, 8:15:16 PM",Kudos,Activity,3462790907
"May 18, 2020, 3:22:53 AM",Kudos,Activity,3468724608
"May 19, 2020, 5:40:14 AM",Kudos,Activity,3474488036
"May 19, 2020, 6:55:03 PM",Kudos,Activity,3477874581
"May 20, 2020, 9:22:24 PM",Kudos,Activity,3480398095
"May 20, 2020, 9:22:33 PM",Kudos,Activity,3480495807
"May 20, 2020, 9:22:38 PM",Kudos,Activity,3480398203
"May 20, 2020, 9:22:43 PM",Kudos,Activity,3480540612
"May 21, 2020, 5:57:39 AM",Kudos,Activity,3485682144
"May 21, 2020, 5:57:42 AM",Kudos,Activity,3485857346
"May 21, 2020, 5:59:15 AM",Kudos,Activity,3485977295
"May 21, 2020, 5:59:20 AM",Kudos,Activity,3485953032
"May 23, 2020, 6:23:48 AM",Kudos,Activity,3496161393
"May 23, 2020, 6:25:13 AM",Kudos,Activity,3496146685
"May 23, 2020, 6:25:13 AM",Kudos,Activity,3496162492
"May 23, 2020, 6:26:09 AM",Kudos,Activity,3495978947
"May 23, 2020, 6:26:12 AM",Kudos,Activity,3496153143
"May 23, 2020, 6:26:14 AM",Kudos,Activity,3496143305
"May 23, 2020, 6:26:14 AM",Kudos,Activity,3496217051
"May 24, 2020, 12:04:15 AM",Kudos,Activity,3500861105
"May 26, 2020, 6:08:19 AM",Kudos,Activity,3512592666
"May 26, 2020, 6:08:23 AM",Kudos,Activity,3506826592
"May 27, 2020, 7:15:54 AM",Kudos,Activity,3512570941
"May 27, 2020, 7:15:56 AM",Kudos,Activity,3512739491
"May 27, 2020, 7:15:57 AM",Kudos,Activity,3518037684
"May 28, 2020, 12:15:00 AM",Kudos,Activity,3518116317
"May 28, 2020, 6:22:56 AM",Kudos,Activity,3523713525
"May 28, 2020, 6:22:57 AM",Kudos,Activity,3523726626
"May 28, 2020, 6:25:37 AM",Kudos,Activity,3518162649
"May 28, 2020, 6:53:06 AM",Kudos,Activity,3523876440
"May 28, 2020, 7:53:53 AM",Kudos,Activity,3524033776
"May 28, 2020, 7:22:42 PM",Kudos,Activity,3527059227
"May 29, 2020, 4:53:10 AM",Kudos,Activity,3528660480
"May 29, 2020, 4:53:20 AM",Kudos,Activity,3528774051
"May 30, 2020, 4:36:19 AM",Kudos,Activity,3533515917
"May 30, 2020, 4:36:23 AM",Kudos,Activity,3533583633
"May 30, 2020, 4:36:26 AM",Kudos,Activity,3533241956
